keys,en,pt
SOLO,Solo,Solo
COOP,Cooperative,Cooperativo
CREDITS,Credits,Créditos
,,
ERROR_WINDOW_SOLO_SAVE_CHARACTER,Fail to save character,Falha ao salvar o personagem
,,
BACKGROUND,Background,Tela de fundo
COLOR_DEFAULT,Default,Padrão
COLOR_RED,Red,Vermelho
COLOR_GREEN,Green,Verde
COLOR_BLUE,Blue,Azul
COLOR_TRANSPARENT,Transparent,Transparente
COLOR_CUSTOM,Custom,Customizada
COLOR_DARKENED_WARNING,Color will be darkened while not live,Cor será escurecida enquanto não estiver ao vivo
,,
INPUT_DEVICE,Input device,Dispositivo de entrada
,,
SAVE_CHARACTER,Save character,Salvar personagem
,,
LOAD_CHARACTER,Load character,Carregar personagem
,,
ERROR_AVATAR_BUTTON_FILES_DROPPED,Only one file can be dropped here,Apenas um arquivo pode ser largado aqui
ERROR_AVATAR_BUTTON_INVALID_FORMAT,Image format not supported,Formato de imagem não suportável
